{'closest_combination': {'Countdown': 2.0, 'dot_ratio': 54.0, 'average_accuracy': 0.8055555555555556}, 'accuracy_data':    Countdown  dot_ratio   Accuracy
0        2.5       60.0  97.222222
1        2.5       57.0  94.444444
2        2.5       54.0  75.000000
3        2.0       60.0  94.444444
4        2.0       57.0  94.444444
5        2.0       54.0  80.555556
6        1.5       60.0  91.666667
7        1.5       57.0  94.444444
8        1.5       54.0  83.333333}
