{'closest_combination': {'Countdown': 1.5, 'dot_ratio': 57.0, 'average_accuracy': 0.8055555555555556}, 'accuracy_data':    Countdown  dot_ratio   Accuracy
0        2.5       60.0  86.111111
1        2.5       57.0  88.888889
2        2.5       54.0  63.888889
3        2.0       60.0  91.666667
4        2.0       57.0  86.111111
5        2.0       54.0  63.888889
6        1.5       60.0  77.777778
7        1.5       57.0  80.555556
8        1.5       54.0  75.000000}
