{'closest_combination': {'Countdown': 2.0, 'dot_ratio': 60.0, 'average_accuracy': 0.8333333333333334}, 'accuracy_data':    Countdown  dot_ratio   Accuracy
0        2.5       60.0  88.888889
1        2.5       57.0  86.111111
2        2.5       54.0  58.333333
3        2.0       60.0  83.333333
4        2.0       57.0  88.888889
5        2.0       54.0  69.444444
6        1.5       60.0  86.111111
7        1.5       57.0  88.888889
8        1.5       54.0  66.666667}
