Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,total_score,Left_3.started,response_2.keys,response_2.corr,response_3.keys,response_3.corr,response_4.keys,response_4.corr,text_2.started,text_5.started,text_2.stopped,text_5.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,2,,,,,,,,,,,,,1.717669499999829,None,0,-2,,,,,,,,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,1.7343182000004163,None,0,-4,,,,,,,,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,2,2,0,,,,,,,,,,,,,2.284393799999634,None,0,-6,,,,,,,,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1.7847202000002653,None,0,-8,,,,,,,,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,0,0,0,1,,,,,,,,,0.984529599999405,,,-10,38.84366660000069,None,0,,,,,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,1,1,2,,,,,,,,,1.6842427999999927,,,-12,43.62478780000038,None,0,,,,,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,0,2,2,3,,,,,,,,,1.16805260000001,,,-14,48.92878560000008,None,0,,,,,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,0,,,,,,,,,1.634589700000106,,,-16,53.7098160000005,None,0,,,,,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,,,,,0,0,0,3,,,,,0.08030049999979383,,,-18,,,,None,0,,,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0.07999870000003284,,,-20,,,,,,None,0,,,,,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.67056960000082,56.67056960000082,57.677546100000654,57.677546100000654,935716,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_14h12.28.649,Rewa's Exp,2023.1.2,60.109122100092975,
