Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,key_skip.keys,total_score,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,3,0.6513294000014866,left,1,0.4489904000001843,None,1,862027,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_15h45.17.446,Rewa's Exp,2023.1.2,60.020551036382784,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,1,1,1,1.3013405999990937,right,1,0.4363251000013406,None,2,862027,2 - with skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_15h45.17.446,Rewa's Exp,2023.1.2,60.020551036382784,
