Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,17.745376999999735,space,7.14652070000011,,,,,,,,,,,,,,rfdghf,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_16h07.48.439,Rewa's Exp,2023.1.2,60.04184916900404,
,,,,,,,,,,,,,,,,24.91067239999984,space,3.8606697000000167,,,,,,,,,,,rfdghf,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_16h07.48.439,Rewa's Exp,2023.1.2,60.04184916900404,
,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,rfdghf,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_16h07.48.439,Rewa's Exp,2023.1.2,60.04184916900404,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,,,,,,,,26.16387739999982,28.10432159999982,1.9404442000000017,None,0,None,-2,60:40,-2,rfdghf,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_16h07.48.439,Rewa's Exp,2023.1.2,60.04184916900404,
