Countdown,color1,color2,correct,screenshot,n,key_skip_3.keys_raw,,response_3.corr_mean,response_3.corr_raw,,response_3.corr_std,response_3.keys_raw,,response_3.rt_mean,response_3.rt_raw,,response_3.rt_std,order,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,2.0,, ,1.0,1.0, 1.0,0.0,'right', 'right',0.998180091381073,0.7430161237716675, 1.2533440589904785,0.36085634362215047,3.0, 5.0
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,2.0,, ,0.5,0.0, 1.0,0.7071067811865476,'left', 'right',0.6620270013809204,0.5269116759300232, 0.7971423864364624,0.1910819678839666,1.0, 7.0
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,2.0,, ,0.5,0.0, 1.0,0.7071067811865476,'right', 'left',0.7905570268630981,0.35667240619659424, 1.224441647529602,0.6136055150516756,0.0, 6.0
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,2.0,, ,1.0,1.0, 1.0,0.0,'left', 'left',0.7508893609046936,0.7487877011299133, 0.7529910206794739,0.0029721957569882472,2.0, 4.0

extraInfo
participant,Antoine10
Task,1 - without skip
Dot Ratio,"54:46, 51:49"
Deadline,"1.5s, 1.0s"
date,2023-07-21_13h53.08.533
expName,Rewa's Exp
psychopyVersion,2023.1.2
frameRate,60.00898934868708
