Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,DotsshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,2.684762700002466,None,0,None,-2,60:40,-2,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_17h08.17.366,Rewa's Exp,2023.1.2,60.01766920185575,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,3,,,,,2.266865300000063,None,0,None,-4,60:40,-2,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_17h08.17.366,Rewa's Exp,2023.1.2,60.01766920185575,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,2,2,1,,,,,2.301218799999333,None,0,None,-6,60:40,-2,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_17h08.17.366,Rewa's Exp,2023.1.2,60.01766920185575,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,3,3,2,,,,,2.8013899999969,None,0,None,-8,60:40,-2,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_17h08.17.366,Rewa's Exp,2023.1.2,60.01766920185575,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,1,2.084718999998586,,,,-10,57:43,-2,39.028166600000986,None,0,None,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_17h08.17.366,Rewa's Exp,2023.1.2,60.01766920185575,
