Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,movie.started,DotsshowRT,Videoshowstart,Videoshowstop,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,response.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,,,,,14.261257399994065,2.6180428999941796,11.371476500004064,11.372405400004936,None,0,None,-2,60:40,-2,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h33.41.064,Rewa's Exp,2023.1.2,59.920605202183694,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,1,1,0,,,,,20.652506400001585,2.7847573999897577,17.788182200005394,17.789200600003824,None,0,None,-4,60:40,-2,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h33.41.064,Rewa's Exp,2023.1.2,59.920605202183694,
2,Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,2,2,1,,,,,27.110424800004694,1.9680262000038056,23.38812190000317,23.389148200003547,right,1,None,-3,60:40,1,1.6089688999927603,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h33.41.064,Rewa's Exp,2023.1.2,59.920605202183694,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,3,3,3,,,,,32.712188300007256,2.3015993000008166,29.338299299997743,29.33936050000193,None,0,None,-5,60:40,-2,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-14_14h33.41.064,Rewa's Exp,2023.1.2,59.920605202183694,
