Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,25.745407000009436,space,2.9869004999636672,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_12h37.29.427,Rewa's Exp,2023.1.2,60.00448833497665,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,24.943803300033323,26.3957910000463,1.4519877000129782,None,0,None,-2,60:40,-2,,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_12h37.29.427,Rewa's Exp,2023.1.2,60.00448833497665,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,1,1,2,,,,30.31696100003319,31.813457300013397,1.4964962999802083,None,0,None,-4,60:40,-2,,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_12h37.29.427,Rewa's Exp,2023.1.2,60.00448833497665,
,,,,,,,,,,,,,,,,35.72739350004122,37.69565330003388,1.9682597999926656,None,0,None,,,,,,,,,,,,
