Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,key_skip.keys,total_score,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,2,1.1181219999998575,left,1,0.9292395999982546,None,1,474276,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h03.15.494,Rewa's Exp,2023.1.2,60.00726087796803,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,1,1,1,2.7848441999994975,None,0,,None,-1,474276,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h03.15.494,Rewa's Exp,2023.1.2,60.00726087796803,
