Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,14.947079100005794,space,1.619428300007712,,,,,,,,,,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h06.17.277,Rewa's Exp,2023.1.2,59.95534526083282,
2.5,Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,13.795425100019202,16.266096799983643,2.4706716999644414,None,0,None,-2,60:40,-2,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h06.17.277,Rewa's Exp,2023.1.2,59.95534526083282,
2.5,Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,2,,,,20.184477699978743,22.683103499992285,2.498625800013542,None,0,None,-4,60:40,-2,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h06.17.277,Rewa's Exp,2023.1.2,59.95534526083282,
2,Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,2,2,3,,,,26.582397299993318,28.549522600020282,1.9671253000269644,None,0,None,-6,60:40,-2,,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-16_16h06.17.277,Rewa's Exp,2023.1.2,59.95534526083282,
