Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,total_score,Dot_ratio,current_score,response_4.keys,response_4.corr,response_4.rt,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,20.625474900007248,space,0.982025799996336,,,,,,,,,,,,,,,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.62697240000125,space,1.284590199997183,,,,,,,,,,,,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,,,,,,,,,,,,19.99764000000141,20.38407559999905,0.38643559999763966,right,0,0.35667239999747835,None,-2,54:46,-2,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,1,,,,,,,,,,,,24.314836100005778,24.867653400011477,0.5528173000056995,left,0,0.526911699998891,None,-4,54:46,-2,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,2,2,3,,,,,,,,,,,,28.836653999998816,29.61767070001224,0.7810167000134243,left,1,0.7487876999948639,None,-3,54:46,1,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,0,3,3,0,,,,,,,,,,,,33.506532700004755,34.26748300000327,0.7609502999985125,right,1,0.743016099993838,None,-2,54:46,1,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,0,4,3,,,,,,,,,,,,38.1917589000077,38.96731030000956,0.7755514000018593,left,1,0.7529909999866504,None,-1,54:46,1,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,1,5,0,,,,,,,,,,,,42.88303430000087,44.16725170001155,1.2842174000106752,right,1,1.2533439999970142,None,0,54:46,1,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,2,6,2,,,,,,,,,,,,48.10496490000514,49.350602100006654,1.2456372000015108,left,1,1.224441600003047,None,1,54:46,1,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,1,3,7,1,,,,,,,,,,,,53.316131500003394,54.13413020000735,0.8179987000039546,right,1,0.7971423999988474,None,2,54:46,1,,,,,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,0,0,0,1,,,,,,,,57.86153550000745,58.73405420000199,0.8725186999945436,,,,,3,51:49,1,right,1,0.851530100000673,None,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,0,1,1,0,,,,,,,,62.70737580000423,64.1006897000043,1.3933139000000665,,,,,4,51:49,1,right,1,1.3660514000075636,None,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,0,2,2,2,,,,,,,,68.03610330000811,69.38395090000995,1.3478476000018418,,,,,2,51:49,-2,right,0,1.3253814999916358,None,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,0,3,3,3,,,,,,,,73.32492530001036,74.28390160000708,0.9589762999967206,,,,,3,51:49,1,left,1,0.9407205000024987,None,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,1,,,,,1,0,4,0,,,,,,,,78.21805200001108,79.71740120000322,1.499349199992139,,,,,1,51:49,-2,None,0,,None,,,,,,,Antoine10,1 - without skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h53.08.533,Rewa's Exp,2023.1.2,60.00898934868708,
