Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,key_skip.keys,total_score,Dot_ratio,current_score,response.rt,Left_3.started,response_2.keys,response_2.corr,key_skip_2.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,92.49884149999707,94.4673904000083,1.9685489000112284,,,,-21,57:43,-2,,98.09706059999007,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,1,0,4,3,,,,,,,,,,,,,,,,98.3733149000036,100.35079579999729,1.9774808999936795,,,,-23,57:43,-2,,103.97154509999382,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,,,,,1,1,5,0,,,,,,,,,,,,,,,,104.25971990000107,105.75090450000425,1.49118460000318,,,,-25,57:43,-2,,109.85784309999144,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,1,2,6,2,,,,,,,,,,,,,,,,109.7217254999996,111.20080210000742,1.4790766000078293,,,,-27,57:43,-2,,115.31979169999249,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,,,,,1,3,7,1,,,,,,,,,,,,,,,,115.13333080000302,117.10078330000397,1.9674525000009453,,,,-29,57:43,-2,,120.73148180000135,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,123.83686470000248,123.83686470000248,123.83686470000248,123.83686470000248,space,31.68743620000896,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,1,0,1,0,0,0,0,1,,,,,0,0,0,3,0,0,0,3,,,,,,,,152.71309630000906,154.6845292000071,1.9714328999980353,None,0,None,-31,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,1,0,1,0,0,1,1,3,,,,,0,0,0,3,0,0,0,3,,,,,,,,158.64185590000125,160.61759969999548,1.975743799994234,None,0,None,-33,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,1,0,1,0,0,2,2,0,,,,,0,0,0,3,0,0,0,3,,,,,,,,164.52589469999657,166.01759210000455,1.491697400007979,None,0,None,-35,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,1,0,1,0,0,3,3,2,,,,,0,0,0,3,0,0,0,3,,,,,,,,169.97547540000232,171.4676150000014,1.4921395999990636,None,0,None,-37,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,1,0,1,0,1,0,4,2,,,,,0,0,0,3,0,0,0,3,,,,,,,,175.43348500000138,176.9176562000066,1.4841712000052212,None,0,None,-39,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,1,0,1,0,1,1,5,0,,,,,0,0,0,3,0,0,0,3,,,,,,,,180.8369926000014,182.33428550000826,1.4972929000068689,None,0,None,-41,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,1,0,1,0,1,2,6,3,,,,,0,0,0,3,0,0,0,3,,,,,,,,186.22565649999888,188.20087620000413,1.9752197000052547,None,0,None,-43,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,1,0,1,0,1,3,7,1,,,,,0,0,0,3,0,0,0,3,,,,,,,,192.10011900000973,194.06759990000864,1.9674808999989182,None,0,None,-45,60:40,-2,,,,,,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,1,0,1,0,,,,,0,0,0,0,0,0,0,3,0,0,0,3,,,,,,,,197.9813764999999,199.46758959999715,1.4862130999972578,,,,-47,57:43,-2,,203.5795291999966,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,1,0,1,0,,,,,0,1,1,3,0,0,0,3,0,0,0,3,,,,,,,,203.38053809999838,205.35115990000486,1.9706218000064837,,,,-49,57:43,-2,,208.97870330000296,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,1,0,1,0,,,,,0,2,2,1,0,0,0,3,0,0,0,3,,,,,,,,209.30703700000595,211.28449190000538,1.9774548999994295,,,,-51,57:43,-2,,214.9051524999959,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,1,0,1,0,,,,,0,3,3,2,0,0,0,3,0,0,0,3,,,,,,,,215.1831250999967,216.66777050000383,1.484645400007139,,,,-53,57:43,-2,,220.78129879999324,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,1,0,1,0,,,,,1,0,4,3,0,0,0,3,0,0,0,3,,,,,,,,220.5920393999986,222.56757460000517,1.9755352000065614,,,,-55,57:43,-2,,226.19021089999296,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,1,0,1,0,,,,,1,1,5,0,0,0,0,3,0,0,0,3,,,,,,,,226.47221590000845,227.96765200000664,1.4954360999981873,,,,-57,57:43,-2,,232.0704679999908,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,1,0,1,0,,,,,1,2,6,1,0,0,0,3,0,0,0,3,,,,,,,,231.88343010000244,233.8511145000084,1.9676844000059646,,,,-59,57:43,-2,,237.48159969999688,None,0,None,,,,,,,dtd,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-21_14h59.44.265,Rewa's Exp,2023.1.2,59.986634977217975,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.34452069998952,,,,,,,,,,,,,,,,,,
