Countdown,color1,color2,correct,screenshot,n,key_skip_4.keys_raw,,response_4.corr_mean,response_4.corr_raw,,response_4.corr_std,response_4.keys_raw,,response_4.rt_mean,response_4.rt_raw,,response_4.rt_std,order,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,2.0,, ,0.0,0.0, 0.0,0.0,'left', ,1.0899784564971924,1.0899784564971924, ,0.0,3.0, 5.0
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,2.0,, ,0.0,0.0, 0.0,0.0,'left', ,0.7288274765014648,0.7288274765014648, ,0.0,0.0, 6.0
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,2.0,, ,0.0,0.0, 0.0,0.0,'right', ,1.0792567729949951,1.0792567729949951, ,0.0,2.0, 7.0
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,2.0,, ,1.0,1.0, 1.0,0.0,'left', 'left',0.7903444170951843,0.812493622303009, 0.7681952118873596,0.03132370640069049,1.0, 4.0

extraInfo
participant,Antoine8
Task,1 - without skip
Dot Ratio,"54:46, 51:49"
Deadline,"1.5s, 1.0s"
date,2023-07-21_13h33.39.589
expName,Rewa's Exp
psychopyVersion,2023.1.2
frameRate,60.00434431268087
