Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,total_score,Dot_ratio,current_score,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,26.871561299994937,space,0.8849438000033842,,,,,,,,,,,,,,,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.784333600007812,space,0.5405867999943439,,,,,,,,,,,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,,,,,,,,,,,,25.672271000003093,26.223714599997038,0.5514435999939451,right,0,0.5202316000068095,None,-2,54:46,-2,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,3,0,1,1,0,,,,,,,,,,,,30.147257899996475,30.740617700008443,0.5933598000119673,left,0,0.5663563999987673,None,-4,54:46,-2,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,3,0,2,2,2,,,,,,,,,,,,34.68035290000262,35.10699050000403,0.4266376000014134,right,0,0.4000309999973979,None,-6,54:46,-2,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,1,,,,,,,,,,,,39.046249699997134,39.62364730000263,0.5773976000054972,right,1,0.5546911999990698,None,-5,54:46,1,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,3,1,0,4,1,,,,,,,,,,,,43.51846960000694,44.090384399998584,0.5719147999916459,left,0,0.5463768999907188,None,-7,54:46,-2,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,3,0,0,0,3,1,1,5,3,,,,,,,,,,,,48.050164200001745,48.273723999998765,0.22355979999701958,right,0,0.19873599999118596,None,-9,54:46,-2,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,0,0,0,3,1,2,6,2,,,,,,,,,,,,52.160376700005145,53.65680759999668,1.4964308999915374,None,0,,None,-11,54:46,-2,,,,,,,,,,Antoine9,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-21_13h41.23.282,Rewa's Exp,2023.1.2,59.96016247009956,
