Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,key_skip.keys,total_score,Dot_ratio,Left_3.started,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1.2014321999995445,right,1,1.0057813999992504,None,1,60:40,,,,,,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,3,,,,,,,,,,,,,1.5852835999994568,left,1,0.84576510000079,None,2,60:40,,,,,,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,2,2,1,,,,,,,,,,,,,1.484554599999683,right,1,0.7419292000013229,None,3,60:40,,,,,,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,,1.651526499999818,left,1,0.7492321000008815,None,4,60:40,,,,,,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,1,,,,,,,,,1.2178377999989607,,,,,5,57:43,35.475510099999155,right,1,1.0673585000004095,None,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,3,,,,,,,,,1.6512406000001647,,,,,6,57:43,40.51067069999954,left,1,1.3050536999999167,None,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,2,,,,,,,,,1.4846353000011732,,,,,7,57:43,45.77194360000067,left,1,1.1474562000003061,None,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,3,3,0,,,,,,,,,1.6347167000003537,,,,,5,57:43,50.866190700000516,left,0,1.3089245999999548,None,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,3,0,0,0,3,,,,,,,,,,,,,53.35727539999971,53.35727539999971,53.35727539999971,53.35727539999971,space,2.1301375000002736,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,0,0,0,1,,,,,0,0,0,3,0,0,0,3,1.301570500001617,right,1,0.9691321999998763,None,6,60:40,,,,,,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1,0,1,0,0,1,1,2,,,,,0,0,0,3,0,0,0,3,1.1681315999994695,left,1,0.8338120999997045,None,7,60:40,,,,,,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,0,2,2,0,,,,,0,0,0,3,0,0,0,3,1.0346532000003208,right,1,0.6923941000004561,None,8,60:40,,,,,,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,0,3,3,3,,,,,0,0,0,3,0,0,0,3,1.1684212000000116,left,1,0.8203283000002557,None,9,60:40,,,,,,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1,0,1,0,,,,,0,0,0,2,0,0,0,3,0,0,0,3,2.135386300000391,,,,,10,57:43,77.53275159999976,left,1,1.76162099999965,None,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,,,,,0,1,1,1,0,0,0,3,0,0,0,3,1.4024236000004748,,,,,11,57:43,83.26300400000036,right,1,1.0797036000003573,None,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,,,,,0,2,2,0,0,0,0,3,0,0,0,3,1.3185324999994918,,,,,12,57:43,88.3533038000005,right,1,0.9571082000002207,None,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,,,,,0,3,3,3,0,0,0,3,0,0,0,3,1.2846955999993952,,,,,13,57:43,93.27199800000017,left,1,0.9846613999998226,None,,,,,,,,1 without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_16h18.22.751,Rewa's Exp,2023.1.2,59.93576085144585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.42975060000026,95.42975060000026,95.42975060000026,95.42975060000026,,,,,,,,,,,
