Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,key_skip.keys,total_score,Dot_ratio,current_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,text_10.started,text_10.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,,,,127.77637890000005,129.05794909999895,1.281570199998896,,,,,12,57:43,1,133.64543459999913,right,1,1.2500731000000087,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,1,0,4,1,,,,,,,,,,,,,,,,132.9887773999999,134.77462009999908,1.7858426999991934,,,,,13,57:43,1,138.8577723999988,right,1,1.7576801000013802,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,1,1,5,2,,,,,,,,,,,,,,,,138.67545140000038,140.07471590000023,1.3992644999998447,,,,,11,57:43,-2,144.5444837999985,right,0,1.3757765000009385,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,1,2,6,0,,,,,,,,,,,,,,,,144.01312999999936,144.92576689999987,0.912636900000507,,,,,12,57:43,1,149.88215489999857,right,1,0.8945897000012337,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,1,3,7,3,,,,,,,,,,,,,,,,148.84944469999937,150.49131540000053,1.6418707000011636,,,,,13,57:43,1,154.7184733999984,left,1,1.6247852000014973,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,157.51500209999904,157.51500209999904,157.51500209999904,157.51500209999904,space,27.181032200001937,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,0,0,0,1,,,,,0,0,0,2,0,0,0,0,,,,,,,,181.68876379999892,183.39123300000028,1.7024692000013602,right,1,1.672850400000243,None,14,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,1,0,1,0,0,1,1,0,,,,,0,0,0,2,0,0,0,0,,,,,,,,187.29367289999936,188.49133950000032,1.1976666000009573,right,1,1.1647020000018529,None,15,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,1,0,1,0,0,2,2,2,,,,,0,0,0,2,0,0,0,0,,,,,,,,192.42020369999955,193.6918571999995,1.2716534999999567,left,1,1.2387820000021748,None,16,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,0,3,3,3,,,,,0,0,0,2,0,0,0,0,,,,,,,,197.65580670000054,199.57472869999947,1.918921999998929,left,1,1.8995606000025873,None,17,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,1,0,1,0,1,0,4,2,,,,,0,0,0,2,0,0,0,0,,,,,,,,203.49590869999884,204.92466609999974,1.4287574000009045,left,1,1.4016603000018222,None,18,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,1,1,5,1,,,,,0,0,0,2,0,0,0,0,,,,,,,,208.8597436,210.6255782999997,1.7658346999996866,right,1,1.7419296999996732,None,19,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,1,2,6,3,,,,,0,0,0,2,0,0,0,0,,,,,,,,214.53941010000017,216.32475489999888,1.785344799998711,left,1,1.767550399999891,None,20,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,1,0,1,0,1,3,7,0,,,,,0,0,0,2,0,0,0,0,,,,,,,,220.22612949999893,221.62527000000046,1.399140500001522,right,1,1.3686723000027996,None,21,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,1,0,1,0,,,,,0,0,0,2,0,0,0,2,0,0,0,0,,,,,,,,225.58195179999893,226.97473009999885,1.392778299999918,,,,,22,57:43,1,231.45098439999856,left,1,1.3721103000007133,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,,,,,0,1,1,1,0,0,0,2,0,0,0,0,,,,,,,,230.8966421999994,232.74120500000026,1.8445628000008583,,,,,20,57:43,-2,236.76565219999975,left,0,1.8178999000010663,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,,,,,0,2,2,3,0,0,0,2,0,0,0,0,,,,,,,,236.66583919999903,238.55806269999994,1.8922235000009096,,,,,21,57:43,1,242.53485049999836,left,1,1.873339900001156,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,1,0,1,0,,,,,0,3,3,0,0,0,0,2,0,0,0,0,,,,,,,,242.4610574999988,243.7411960999998,1.2801386000010098,,,,,22,57:43,1,248.33005539999976,right,1,1.2607213999999658,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,,,,,1,0,4,3,0,0,0,2,0,0,0,0,,,,,,,,247.65913960000034,249.3245814999991,1.6654418999987683,,,,,23,57:43,1,253.52817249999862,left,1,1.6385552000010648,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,,,,,1,1,5,1,0,0,0,2,0,0,0,0,,,,,,,,253.2449684000003,254.77459079999971,1.5296223999994254,,,,,24,57:43,1,259.11398329999975,right,1,1.500409700000091,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,1,0,1,0,,,,,1,2,6,0,0,0,0,2,0,0,0,0,,,,,,,,258.6791218999988,259.94126979999965,1.2621479000008549,,,,,25,57:43,1,264.5481405999999,right,1,1.2356275000020105,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,1,0,1,0,,,,,1,3,7,2,0,0,0,2,0,0,0,0,,,,,,,,263.83193989999927,265.1246883999993,1.292748500000016,,,,,26,57:43,1,269.70093839999936,left,1,1.2667948000016622,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,272.1471419999998,272.1471419999998,272.1471419999998,272.1471419999998,space,2.7482470000013564,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,2,0,2,0,0,0,0,2,,,,,0,0,0,0,0,0,0,3,,,,,,,,271.82435689999875,273.12454929999876,1.3001924000000145,right,0,1.2733236000021861,None,24,60:40,-2,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
