Countdown,color1,color2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,key_resp.started,Right.started,Left.started,polygon.stopped,Right.stopped,Left.stopped,key_resp.keys,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,0,0,0,0,0,0,0,0,10.446381899993867,11.462526600109413,12.113378799986094,12.113378799986094,12.113378799986094,12.113378799986094,12.113378799986094,12.113378799986094,12.113378799986094,13.113495000172406,14.11345970002003,14.11345970002003,None,,749695,001,2023-07-11_12h04.18.472,Rewa's Exp,2023.1.2,60.015904237910796,
Countdown_2s.mp4,red,green,0,0,0,0,0,1,1,2,,14.752616300014779,15.994606400141492,15.994606400141492,15.994606400141492,15.994606400141492,15.994606400141492,15.994606400141492,15.994606400141492,16.996587600093335,17.996496099978685,17.996496099978685,None,15.994606400141492,749695,001,2023-07-11_12h04.18.472,Rewa's Exp,2023.1.2,60.015904237910796,
,,,,,,,,,,,,18.127574000041932,19.36424900009297,19.36424900009297,19.36424900009297,19.36424900009297,19.36424900009297,19.36424900009297,19.36424900009297,,,,,,,,,,,,
