Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,text.stopped,fix.started,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,polygon.stopped,response.keys,response.rt,text_3.started,text_3.stopped,fix.stopped,image.stopped,circle_4.stopped,fix_2.stopped,Right_2.stopped,Left_2.stopped,polygon_2.started,movie_2.started,circle_2.started,key_resp_2.started,polygon_2.stopped,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,11.617138399975374,12.626250999979675,12.626250999979675,14.180279399966821,14.180279399966821,14.180279399966821,14.180279399966821,14.180279399966821,15.302284399978817,15.302284399978817,15.302284399978817,15.302284399978817,15.302284399978817,15.302284399978817,16.30882539995946,right,1.1256792000494897,16.579431500053033,,,,,,,,,,,,,,,128661,001,2023-07-11_14h20.42.890,Rewa's Exp,2023.1.2,59.99458851675276,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,1,,,,,,,17.585982999997213,19.09241549996659,19.09241549996659,19.09241549996659,19.09241549996659,19.09241549996659,20.857239400036633,20.857239400036633,20.857239400036633,20.857239400036633,20.857239400036633,20.857239400036633,,left,0.8745763001497835,21.86785060004331,22.869285099906847,,,,,,,,,,,,,,128661,001,2023-07-11_14h20.42.890,Rewa's Exp,2023.1.2,59.99458851675276,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,2,2,5,,,,,,,22.869285099906847,24.376566800056025,24.376566800056025,24.376566800056025,24.376566800056025,24.376566800056025,26.080789800034836,26.080789800034836,26.080789800034836,26.080789800034836,26.080789800034836,26.080789800034836,27.091828000033274,right,1.2828217998612672,27.532519900007173,28.535873600048944,24.376566800056025,,,,,,,,,,,,,128661,001,2023-07-11_14h20.42.890,Rewa's Exp,2023.1.2,59.99458851675276,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,3,3,4,,,,,,,28.535873600048944,30.041903799865395,30.041903799865395,30.041903799865395,30.041903799865395,30.041903799865395,31.805118100019172,31.805118100019172,31.805118100019172,31.805118100019172,31.805118100019172,31.805118100019172,32.80816309992224,left,1.1588664001319557,33.13732159999199,,30.041903799865395,31.805118100019172,31.805118100019172,31.805118100019172,31.805118100019172,31.805118100019172,,,,,,,,128661,001,2023-07-11_14h20.42.890,Rewa's Exp,2023.1.2,59.99458851675276,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,4,4,2,,,,,,,34.152926499955356,35.658489499939606,35.658489499939606,35.658489499939606,35.658489499939606,35.658489499939606,37.38940929993987,37.38940929993987,37.38940929993987,37.38940929993987,37.38940929993987,37.38940929993987,,right,0.6950169999618083,38.24110380001366,39.2526306998916,,,,,,,,,,,,,,128661,001,2023-07-11_14h20.42.890,Rewa's Exp,2023.1.2,59.99458851675276,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,5,5,3,,,,,,,39.2526306998916,40.75885819992982,40.75885819992982,40.75885819992982,40.75885819992982,40.75885819992982,42.55470289988443,42.55470289988443,42.55470289988443,42.55470289988443,42.55470289988443,42.55470289988443,43.55821849987842,None,,44.69317129999399,,40.75885819992982,,,,,,,,,,,,,128661,001,2023-07-11_14h20.42.890,Rewa's Exp,2023.1.2,59.99458851675276,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,2,,,45.70274059986696,47.208523500012234,47.208523500012234,47.208523500012234,47.208523500012234,47.208523500012234,,,,,,,,,,49.80858129984699,50.81942069996148,,,,,,,48.31533969985321,48.31533969985321,48.31533969985321,48.31533969985321,49.32491229986772,right,1.3687205999158323,128661,001,2023-07-11_14h20.42.890,Rewa's Exp,2023.1.2,59.99458851675276,
,,,,,,,,,,,,,,,,,,,50.81942069996148,52.325138199841604,52.325138199841604,52.325138199841604,52.325138199841604,52.325138199841604,,,,,,,,,,,,52.325138199841604,,,,,,53.59019090002403,53.59019090002403,53.59019090002403,53.59019090002403,,,,,,,,,,
