Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,fix.started,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,response.keys,response.rt,text_3.started,text_3.stopped,fix.stopped,image.stopped,circle_4.stopped,fix_2.stopped,Right_2.stopped,Left_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,11.23629100015387,12.25346040003933,13.792968000052497,13.792968000052497,13.792968000052497,13.792968000052497,13.792968000052497,14.908547700149938,14.908547700149938,14.908547700149938,14.908547700149938,14.908547700149938,14.908547700149938,right,0.31865769997239113,15.399924900149927,,,,,,,,755478,001,2023-07-11_14h07.54.606,Rewa's Exp,2023.1.2,59.87170696099471,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,1,,16.40159140015021,17.908447100082412,17.908447100082412,17.908447100082412,17.908447100082412,17.908447100082412,19.64313290012069,19.64313290012069,19.64313290012069,19.64313290012069,19.64313290012069,19.64313290012069,left,0.26473219972103834,20.016969799995422,21.018282500095665,,,,,,,755478,001,2023-07-11_14h07.54.606,Rewa's Exp,2023.1.2,59.87170696099471,
,,,,,,,,,,,,,,21.018282500095665,22.524445300223306,22.524445300223306,22.524445300223306,22.524445300223306,22.524445300223306,24.352309700101614,24.352309700101614,24.352309700101614,24.352309700101614,24.352309700101614,24.352309700101614,,,,,22.524445300223306,24.352309700101614,24.352309700101614,24.352309700101614,24.352309700101614,24.352309700101614,,,,,,,
