Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,fix.started,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,text_countdown.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,polygon.stopped,response.keys,text_3.started,response.rt,text_3.stopped,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,5,12.043554400093853,13.058246300090104,14.60856999992393,14.60856999992393,14.60856999992393,14.60856999992393,14.60856999992393,15.737590200034901,15.737590200034901,15.737590200034901,15.737590200034901,15.737590200034901,15.737590200034901,15.737590200034901,16.747339900117368,None,17.37033770000562,,,,545230,001,2023-07-11_13h34.19.625,Rewa's Exp,2023.1.2,59.98717471422252,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,4,,18.374895399902016,19.88069189991802,19.88069189991802,19.88069189991802,19.88069189991802,19.88069189991802,21.6249325000681,21.6249325000681,21.6249325000681,21.6249325000681,21.6249325000681,21.6249325000681,21.6249325000681,22.630635699955747,right,23.11576749989763,1.3462467999197543,24.12499239994213,,545230,001,2023-07-11_13h34.19.625,Rewa's Exp,2023.1.2,59.98717471422252,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,2,2,1,,24.12499239994213,25.63368560001254,25.63368560001254,25.63368560001254,25.63368560001254,25.63368560001254,27.36186489998363,27.36186489998363,27.36186489998363,27.36186489998363,27.36186489998363,27.36186489998363,27.36186489998363,,right,28.131807199912146,0.623863099841401,29.141579600051045,25.63368560001254,545230,001,2023-07-11_13h34.19.625,Rewa's Exp,2023.1.2,59.98717471422252,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,3,3,2,,29.141579600051045,30.647547699976712,30.647547699976712,30.647547699976712,30.647547699976712,30.647547699976712,32.37274429993704,32.37274429993704,32.37274429993704,32.37274429993704,32.37274429993704,32.37274429993704,32.37274429993704,,left,32.94425339996815,0.4386101998388767,,30.647547699976712,545230,001,2023-07-11_13h34.19.625,Rewa's Exp,2023.1.2,59.98717471422252,
,,,,,,,,,,,,,,33.958235000027344,35.46395929995924,35.46395929995924,35.46395929995924,35.46395929995924,35.46395929995924,37.24776070006192,37.24776070006192,37.24776070006192,37.24776070006192,37.24776070006192,37.24776070006192,37.24776070006192,,,,,,,,,,,,,
