Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,text.stopped,fix.started,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,response.keys,response.rt,text_3.started,text_3.stopped,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,13.609931000042707,14.627048599999398,14.627048599999398,16.195212200051174,16.195212200051174,16.195212200051174,16.195212200051174,16.195212200051174,17.33858139999211,17.33858139999211,17.33858139999211,17.33858139999211,17.33858139999211,17.33858139999211,left,0.559376300079748,18.063040600158274,19.06829460011795,,382477,001,2023-07-11_14h29.46.184,Rewa's Exp,2023.1.2,59.93867073169408,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,1,1,3,,,19.06829460011795,20.583531100070104,20.583531100070104,20.583531100070104,20.583531100070104,20.583531100070104,22.222798200091347,22.222798200091347,22.222798200091347,22.222798200091347,22.222798200091347,22.222798200091347,left,0.8579458999447525,23.239594400161877,,20.583531100070104,382477,001,2023-07-11_14h29.46.184,Rewa's Exp,2023.1.2,59.93867073169408,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,2,2,1,,,24.251689500175416,25.757889700122178,25.757889700122178,25.757889700122178,25.757889700122178,25.757889700122178,27.4188914000988,27.4188914000988,27.4188914000988,27.4188914000988,27.4188914000988,27.4188914000988,left,0.6772793000563979,28.31207980006002,29.318586900131777,,382477,001,2023-07-11_14h29.46.184,Rewa's Exp,2023.1.2,59.93867073169408,
,,,,,,,,,,,,,,,29.318586900131777,30.8242387000937,30.8242387000937,30.8242387000937,30.8242387000937,30.8242387000937,32.63135420018807,32.63135420018807,32.63135420018807,32.63135420018807,32.63135420018807,32.63135420018807,,,,,30.8242387000937,,,,,,,
