Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,text.stopped,fix.started,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,polygon.stopped,response.keys,response.rt,text_3.started,text_3.stopped,fix.stopped,polygon_2.started,movie_2.started,circle_2.started,key_resp_2.started,polygon_2.stopped,key_resp_2.keys,image.stopped,circle_4.stopped,fix_2.stopped,Right_2.stopped,Left_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,3,,,,,10.917472400004044,11.930001699831337,11.930001699831337,13.486642000032589,13.486642000032589,13.486642000032589,13.486642000032589,13.486642000032589,14.585863099899143,14.585863099899143,14.585863099899143,14.585863099899143,14.585863099899143,14.585863099899143,15.60044929990545,right,1.2418847000226378,15.991435799980536,16.994093699846417,,,,,,,,,,,,,396829,001,2023-07-11_14h16.48.998,Rewa's Exp,2023.1.2,60.00711688428214,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,1,,,,,,,16.994093699846417,18.500004400033504,18.500004400033504,18.500004400033504,18.500004400033504,18.500004400033504,20.154645500006154,20.154645500006154,20.154645500006154,20.154645500006154,20.154645500006154,20.154645500006154,21.16640709992498,right,1.02461769990623,21.33233779994771,,18.500004400033504,,,,,,,,,,,,396829,001,2023-07-11_14h16.48.998,Rewa's Exp,2023.1.2,60.00711688428214,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,2,2,5,,,,,,,22.344177999999374,23.850478899898008,23.850478899898008,23.850478899898008,23.850478899898008,23.850478899898008,25.543048199964687,25.543048199964687,25.543048199964687,25.543048199964687,25.543048199964687,25.543048199964687,26.550079899840057,None,,27.201086499961093,,,,,,,,,,,,,,396829,001,2023-07-11_14h16.48.998,Rewa's Exp,2023.1.2,60.00711688428214,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,3,3,0,,,,,,,28.210775199811906,29.71836719987914,29.71836719987914,29.71836719987914,29.71836719987914,29.71836719987914,31.43306489987299,31.43306489987299,31.43306489987299,31.43306489987299,31.43306489987299,31.43306489987299,,left,0.6662788998801261,32.24730980000459,,,,,,,,,,,,,,396829,001,2023-07-11_14h16.48.998,Rewa's Exp,2023.1.2,60.00711688428214,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,4,4,4,,,,,,,33.26075659994967,34.76664579985663,34.76664579985663,34.76664579985663,34.76664579985663,34.76664579985663,36.47353659989312,36.47353659989312,36.47353659989312,36.47353659989312,36.47353659989312,36.47353659989312,37.48351219994947,right,1.4743369000498205,38.084714399883524,39.09401539992541,,,,,,,,,,,,,396829,001,2023-07-11_14h16.48.998,Rewa's Exp,2023.1.2,60.00711688428214,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,5,5,2,,,,,,,39.09401539992541,40.60031170002185,40.60031170002185,40.60031170002185,40.60031170002185,40.60031170002185,42.37929579988122,42.37929579988122,42.37929579988122,42.37929579988122,42.37929579988122,42.37929579988122,43.38350539980456,None,,44.514528799802065,,40.60031170002185,,,,,,,,,,,,396829,001,2023-07-11_14h16.48.998,Rewa's Exp,2023.1.2,60.00711688428214,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,3,,,45.52736369986087,47.03300519986078,47.03300519986078,47.03300519986078,47.03300519986078,47.03300519986078,,,,,,,,,,50.347842399962246,,,48.13327219989151,48.13327219989151,48.13327219989151,48.13327219989151,49.13280709995888,None,,,,,,396829,001,2023-07-11_14h16.48.998,Rewa's Exp,2023.1.2,60.00711688428214,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,51.360724200028926,52.86689920001663,52.86689920001663,52.86689920001663,52.86689920001663,52.86689920001663,,,,,,,,,,56.65395880001597,57.6607230999507,52.86689920001663,54.16248419997282,54.16248419997282,54.16248419997282,54.16248419997282,55.166178699815646,None,,,,,,396829,001,2023-07-11_14h16.48.998,Rewa's Exp,2023.1.2,60.00711688428214,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,1,,,57.6607230999507,59.16669949982315,59.16669949982315,59.16669949982315,59.16669949982315,59.16669949982315,,,,,,,,,,63.140758299967274,64.1440315998625,59.16669949982315,60.44567229994573,60.44567229994573,60.44567229994573,60.44567229994573,61.4498274999205,None,60.44567229994573,60.44567229994573,60.44567229994573,60.44567229994573,60.44567229994573,396829,001,2023-07-11_14h16.48.998,Rewa's Exp,2023.1.2,60.00711688428214,
,,,,,,,,,,,,,,,,,,,64.1440315998625,65.64975459990092,65.64975459990092,65.64975459990092,65.64975459990092,65.64975459990092,,,,,,,,,,,,65.64975459990092,66.92076669982634,66.92076669982634,66.92076669982634,66.92076669982634,,,66.92076669982634,66.92076669982634,66.92076669982634,66.92076669982634,66.92076669982634,,,,,,,
