Countdown,color1,color2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,key_resp.started,Right.started,Left.started,polygon.stopped,key_resp.keys,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,red,green,0,0,0,0,0,0,0,4,10.208808699855581,11.224249299848452,11.87248899997212,11.87248899997212,11.87248899997212,11.87248899997212,11.87248899997212,11.87248899997212,11.87248899997212,12.87633839994669,None,,573222,001,2023-07-11_12h06.24.585,Rewa's Exp,2023.1.2,59.97645321877761,
Countdown_2s.mp4,green,red,0,0,0,0,0,1,1,3,,13.550760600017384,14.926275699865073,14.926275699865073,14.926275699865073,14.926275699865073,14.926275699865073,14.926275699865073,14.926275699865073,15.926214899867773,None,14.926275699865073,573222,001,2023-07-11_12h06.24.585,Rewa's Exp,2023.1.2,59.97645321877761,
,,,,,,,,,,,,17.095575199928135,18.48889989987947,18.48889989987947,18.48889989987947,18.48889989987947,18.48889989987947,18.48889989987947,18.48889989987947,19.493074900005013,,18.48889989987947,,,,,,,
