Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.rt,response_3.keys,response_3.rt,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,0,1,1,5,,,,,,,,,0.7833461000118405,right,0,0.4359213998541236,-26,,,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,1,0,1,0,0,2,2,2,,,,,,,,,1.182849199976772,right,1,0.8724540998227894,-25,,,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,1,0,1,0,0,3,3,3,,,,,,,,,1.1010964999441057,left,1,0.7811700000893325,-24,,,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,0,4,4,0,,,,,,,,,0.9848689001519233,right,1,0.659833800047636,-23,,,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1,0,1,0,0,5,5,4,,,,,,,,,1.0847138999961317,left,1,0.7384473998099566,-22,,,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,1,0,1,0,,,,,0,0,0,2,,,,,1.7011185998562723,,,,-24,129.16650569997728,None,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,,,,,0,1,1,5,,,,,0.9511803002096713,,,,-26,134.5089372000657,left,0.6076455998700112,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,,,,,0,2,2,0,,,,,0.6511915000155568,,,,-28,139.0723529001698,left,0.3319862997159362,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1,0,1,0,,,,,0,3,3,4,,,,,1.684054700192064,,,,-30,143.40355110005476,left,1.3608611000236124,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,,,,,0,4,4,1,,,,,1.1365583001170307,,,,-32,148.70255090016872,right,0.8062424999661744,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
