Countdown,color1,color2,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,text.stopped,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,polygon.stopped,response.keys,text_3.started,text_3.stopped,fix.stopped,response.rt,polygon_2.started,movie_2.started,circle_2.started,key_resp_2.started,polygon_2.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,green,red,left,0,0,0,0,0,0,0,3,,,,,10.353447300149128,11.362133600050583,11.362133600050583,12.031549600185826,12.031549600185826,12.031549600185826,12.031549600185826,12.031549600185826,12.031549600185826,12.031549600185826,13.042278900044039,None,14.154776000184938,,,,,,,,,,658036,001,2023-07-11_12h38.15.462,Rewa's Exp,2023.1.2,60.098465347765604,
Countdown_1.5s.mp4,red,green,right,0,0,0,0,0,1,1,4,,,,,,,15.169833000050858,16.382539300015196,16.382539300015196,16.382539300015196,16.382539300015196,16.382539300015196,16.382539300015196,16.382539300015196,17.391948700184003,None,18.03414440015331,19.036490000085905,,,,,,,,,658036,001,2023-07-11_12h38.15.462,Rewa's Exp,2023.1.2,60.098465347765604,
Countdown_2.5s.mp4,green,red,left,0,0,0,0,0,2,2,1,,,,,,,19.036490000085905,20.266574200009927,20.266574200009927,20.266574200009927,20.266574200009927,20.266574200009927,20.266574200009927,20.266574200009927,,right,21.2437055001501,,20.266574200009927,0.8213392000179738,,,,,,,658036,001,2023-07-11_12h38.15.462,Rewa's Exp,2023.1.2,60.098465347765604,
Countdown_1.5s.mp4,green,red,left,0,0,0,0,0,3,3,5,,,,,,,22.25313389999792,23.463060999987647,23.463060999987647,23.463060999987647,23.463060999987647,23.463060999987647,23.463060999987647,23.463060999987647,,left,24.194224199978635,25.202915200032294,,0.5529069998301566,,,,,,,658036,001,2023-07-11_12h38.15.462,Rewa's Exp,2023.1.2,60.098465347765604,
Countdown_2s.mp4,red,green,right,0,0,0,0,0,4,4,2,,,,,,,25.202915200032294,26.477755200117826,26.477755200117826,26.477755200117826,26.477755200117826,26.477755200117826,26.477755200117826,26.477755200117826,,left,27.050990800140426,28.053128000115976,26.477755200117826,0.4178003999404609,,,,,,,658036,001,2023-07-11_12h38.15.462,Rewa's Exp,2023.1.2,60.098465347765604,
Countdown_2.5s.mp4,red,green,right,0,0,0,0,0,5,5,0,,,,,,,28.053128000115976,29.303958900040016,29.303958900040016,29.303958900040016,29.303958900040016,29.303958900040016,29.303958900040016,29.303958900040016,30.308854600181803,right,30.477651300141588,31.48652040003799,29.303958900040016,1.0397103999275714,,,,,,,658036,001,2023-07-11_12h38.15.462,Rewa's Exp,2023.1.2,60.098465347765604,
Countdown_1.5s.mp4,green,red,left,0,0,0,0,,,,,0,0,0,5,,,31.48652040003799,,,,,,,,,,,,32.093150299973786,,32.093150299973786,32.093150299973786,32.093150299973786,32.093150299973786,33.10866850009188,None,658036,001,2023-07-11_12h38.15.462,Rewa's Exp,2023.1.2,60.098465347765604,
,,,,,,,,,,,,,,,,,,33.66846489999443,,,,,,,,,,,,,,,,,,,,,,,,,,
