Countdown,Reddots,Greendots,red_dots_60,red_dots_57,color1,color2,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,polygon.stopped,fix.stopped,polygon_2.started,movie_2.started,circle_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,60,40,0,1,red,green,0,0,0,1,,,,,10.35310130007565,11.370468700071797,12.03845060011372,12.03845060011372,12.03845060011372,12.03845060011372,13.040311900200322,,,,,,481072,001,2023-07-11_11h39.33.842,Rewa's Exp,2023.1.2,60.01021371834178,
Countdown_1.5s.mp4,60,40,0,1,green,red,0,1,1,2,,,,,,14.197083699982613,15.409691400127485,15.409691400127485,15.409691400127485,15.409691400127485,16.423408400034532,15.409691400127485,,,,,481072,001,2023-07-11_11h39.33.842,Rewa's Exp,2023.1.2,60.01021371834178,
Countdown_2.5s.mp4,60,40,0,1,red,green,0,2,2,0,,,,,,17.102142499992624,18.275085699977353,18.275085699977353,18.275085699977353,18.275085699977353,19.290080800186843,18.275085699977353,,,,,481072,001,2023-07-11_11h39.33.842,Rewa's Exp,2023.1.2,60.01021371834178,
Countdown_2.5s.mp4,57,43,1,0,green,red,0,3,3,3,,,,,,20.928053500130773,22.128248600056395,22.128248600056395,22.128248600056395,22.128248600056395,23.140132799977437,22.128248600056395,,,,,481072,001,2023-07-11_11h39.33.842,Rewa's Exp,2023.1.2,60.01021371834178,
Countdown_2.5s.mp4,57,43,1,0,green,red,,,,,0,0,0,3,,24.781560600036755,,,,,,25.39506940008141,25.39506940008141,25.39506940008141,25.39506940008141,26.406748400069773,481072,001,2023-07-11_11h39.33.842,Rewa's Exp,2023.1.2,60.01021371834178,
Countdown_2s.mp4,60,40,0,1,red,green,,,,,0,1,1,1,,27.84747839998454,,,,,,28.679727300070226,28.679727300070226,28.679727300070226,28.679727300070226,29.690115900011733,481072,001,2023-07-11_11h39.33.842,Rewa's Exp,2023.1.2,60.01021371834178,
Countdown_1.5s.mp4,60,40,0,1,green,red,,,,,0,2,2,2,,30.775455200113356,,,,,,31.590071400161833,31.590071400161833,31.590071400161833,31.590071400161833,32.59033989999443,481072,001,2023-07-11_11h39.33.842,Rewa's Exp,2023.1.2,60.01021371834178,
Countdown_2.5s.mp4,60,40,0,1,red,green,,,,,0,3,3,0,,33.165013700025156,,,,,,33.99601050000638,33.99601050000638,33.99601050000638,33.99601050000638,35.00676130014472,481072,001,2023-07-11_11h39.33.842,Rewa's Exp,2023.1.2,60.01021371834178,
