Countdown,color1,color2,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,polygon.stopped,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,green,red,0,0,0,5,11.395114299841225,12.413047299953178,13.070374300004914,13.070374300004914,13.070374300004914,13.070374300004914,14.080035699997097,,202711,001,2023-07-11_11h44.40.586,Rewa's Exp,2023.1.2,60.051836664734694,
Countdown_2s.mp4,red,green,0,1,1,2,,14.749211400048807,16.101320300018415,16.101320300018415,16.101320300018415,16.101320300018415,17.113304199883714,16.101320300018415,202711,001,2023-07-11_11h44.40.586,Rewa's Exp,2023.1.2,60.051836664734694,
,,,,,,,,18.23461419995874,,,,,,,,,,,,,
