Countdown,color1,color2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,key_resp.started,Right.started,Left.started,polygon.stopped,Right.stopped,Left.stopped,key_resp.keys,fix.stopped,polygon_2.started,movie_2.started,circle_2.started,key_resp_2.started,polygon_2.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,0,0,0,0,0,0,0,0,,,,,10.624290799954906,11.639473799848929,12.295441499911249,12.295441499911249,12.295441499911249,12.295441499911249,12.295441499911249,12.295441499911249,12.295441499911249,13.310583399841562,14.310270600020885,14.310270600020885,None,,,,,,,,712953,001,2023-07-11_12h05.14.744,Rewa's Exp,2023.1.2,59.90373470453185,
Countdown_1.5s.mp4,red,green,0,0,0,0,0,1,1,4,,,,,,14.93623139988631,16.18196539999917,16.18196539999917,16.18196539999917,16.18196539999917,16.18196539999917,16.18196539999917,16.18196539999917,17.19359129993245,,,None,16.18196539999917,,,,,,,712953,001,2023-07-11_12h05.14.744,Rewa's Exp,2023.1.2,59.90373470453185,
Countdown_2.5s.mp4,green,red,0,0,0,0,0,2,2,1,,,,,,17.829447999829426,19.209539199946448,19.209539199946448,19.209539199946448,19.209539199946448,19.209539199946448,19.209539199946448,19.209539199946448,20.20991409989074,21.20997229986824,21.20997229986824,None,19.209539199946448,,,,,,,712953,001,2023-07-11_12h05.14.744,Rewa's Exp,2023.1.2,59.90373470453185,
Countdown_2s.mp4,red,green,0,0,0,0,0,3,3,2,,,,,,21.86322499997914,23.217491999967024,23.217491999967024,23.217491999967024,23.217491999967024,23.217491999967024,23.217491999967024,23.217491999967024,24.226832799846306,25.226546799996868,25.226546799996868,None,23.217491999967024,,,,,,,712953,001,2023-07-11_12h05.14.744,Rewa's Exp,2023.1.2,59.90373470453185,
Countdown_2s.mp4,green,red,0,0,0,0,0,4,4,3,,,,,,25.384527999907732,26.59399540000595,26.59399540000595,26.59399540000595,26.59399540000595,26.59399540000595,26.59399540000595,26.59399540000595,27.59339899988845,28.593312999932095,28.593312999932095,None,26.59399540000595,,,,,,,712953,001,2023-07-11_12h05.14.744,Rewa's Exp,2023.1.2,59.90373470453185,
Countdown_1.5s.mp4,green,red,0,0,0,0,0,5,5,5,,,,,,28.72651289985515,29.969777199905366,29.969777199905366,29.969777199905366,29.969777199905366,29.969777199905366,29.969777199905366,29.969777199905366,30.97676629992202,,,None,29.969777199905366,,,,,,,712953,001,2023-07-11_12h05.14.744,Rewa's Exp,2023.1.2,59.90373470453185,
Countdown_2.5s.mp4,green,red,0,0,0,0,,,,,0,0,0,1,,31.640489999903366,,,,,,,,,,,,,32.254224699921906,32.254224699921906,32.254224699921906,32.254224699921906,33.25978309987113,None,712953,001,2023-07-11_12h05.14.744,Rewa's Exp,2023.1.2,59.90373470453185,
,,,,,,,,,,,,,,,,34.828060699859634,,,,,,,,,,,,35.672150400001556,35.672150400001556,35.672150400001556,35.672150400001556,35.672150400001556,,,,,,,,,
