Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,fix.started,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,response.keys,response.rt,text_3.started,text_3.stopped,fix.stopped,polygon.stopped,image.stopped,circle_4.stopped,fix_2.stopped,Right_2.stopped,Left_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,10.436761100078002,11.455933100078255,12.98973389994353,12.98973389994353,12.98973389994353,12.98973389994353,12.98973389994353,14.107079199980944,14.107079199980944,14.107079199980944,14.107079199980944,14.107079199980944,14.107079199980944,right,0.8437961000017822,15.112073899945244,16.114360500127077,,,,,,,,985881,001,2023-07-11_14h18.09.327,Rewa's Exp,2023.1.2,59.90000291287774,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,1,1,2,,16.114360500127077,17.620291700121015,17.620291700121015,17.620291700121015,17.620291700121015,17.620291700121015,19.31608449993655,19.31608449993655,19.31608449993655,19.31608449993655,19.31608449993655,19.31608449993655,left,1.0256845999974757,20.483774400083348,,17.620291700121015,20.32031480013393,,,,,,985881,001,2023-07-11_14h18.09.327,Rewa's Exp,2023.1.2,59.90000291287774,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,2,2,4,,21.497811200097203,23.003927000099793,23.003927000099793,23.003927000099793,23.003927000099793,23.003927000099793,24.693896499928087,24.693896499928087,24.693896499928087,24.693896499928087,24.693896499928087,24.693896499928087,left,0.9207997000776231,25.752561799949035,,,,,,,,,985881,001,2023-07-11_14h18.09.327,Rewa's Exp,2023.1.2,59.90000291287774,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,3,3,5,,26.764305799966678,28.270253000082448,28.270253000082448,28.270253000082448,28.270253000082448,28.270253000082448,30.045780299929902,30.045780299929902,30.045780299929902,30.045780299929902,30.045780299929902,30.045780299929902,left,0.6649159998632967,30.899799400009215,,,,,,,,,985881,001,2023-07-11_14h18.09.327,Rewa's Exp,2023.1.2,59.90000291287774,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,4,4,1,,31.914407500065863,33.42033730004914,33.42033730004914,33.42033730004914,33.42033730004914,33.42033730004914,35.231251700082794,35.231251700082794,35.231251700082794,35.231251700082794,35.231251700082794,35.231251700082794,left,0.7587977000512183,36.16524010011926,37.16434930008836,,,,,,,,985881,001,2023-07-11_14h18.09.327,Rewa's Exp,2023.1.2,59.90000291287774,
,,,,,,,,,,,,,,37.16434930008836,38.67019960004836,38.67019960004836,38.67019960004836,38.67019960004836,38.67019960004836,40.416724500013515,40.416724500013515,40.416724500013515,40.416724500013515,40.416724500013515,40.416724500013515,,,,,38.67019960004836,,40.416724500013515,40.416724500013515,40.416724500013515,40.416724500013515,40.416724500013515,,,,,,,
