Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,text.stopped,fix.started,fix.stopped,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,response.keys,response.rt,text_3.started,text_3.stopped,image.stopped,circle_4.stopped,fix_2.stopped,Right_2.stopped,Left_2.stopped,polygon_2.started,movie_2.started,circle_2.started,key_resp_2.started,polygon_2.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,5,,,,,11.09749750001356,12.104682100005448,12.104682100005448,13.65460760006681,13.65460760006681,13.65460760006681,13.65460760006681,13.65460760006681,13.65460760006681,14.771210900042206,14.771210900042206,14.771210900042206,14.771210900042206,14.771210900042206,14.771210900042206,right,0.6079654002096504,15.569057599874213,,,,,,,,,,,,,474607,001,2023-07-11_14h03.11.671,Rewa's Exp,2023.1.2,59.99599226513765,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,1,1,0,,,,,,,16.571376799838617,,18.08372709993273,18.08372709993273,18.08372709993273,18.08372709993273,18.08372709993273,19.807993300026283,19.807993300026283,19.807993300026283,19.807993300026283,19.807993300026283,19.807993300026283,left,0.5393622000701725,20.54024160001427,,,,,,,,,,,,,474607,001,2023-07-11_14h03.11.671,Rewa's Exp,2023.1.2,59.99599226513765,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,2,2,2,,,,,,,21.554689100012183,,23.06451189983636,23.06451189983636,23.06451189983636,23.06451189983636,23.06451189983636,24.888320799916983,24.888320799916983,24.888320799916983,24.888320799916983,24.888320799916983,24.888320799916983,right,0.5628955001011491,25.62074250006117,26.62136249989271,,,,,,,,,,,,474607,001,2023-07-11_14h03.11.671,Rewa's Exp,2023.1.2,59.99599226513765,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,3,3,1,,,,,,,26.62136249989271,28.13573109987192,28.13573109987192,28.13573109987192,28.13573109987192,28.13573109987192,28.13573109987192,29.95172799983993,29.95172799983993,29.95172799983993,29.95172799983993,29.95172799983993,29.95172799983993,left,0.5402885000221431,30.604773099999875,31.604698499897495,,,,,,,,,,,,474607,001,2023-07-11_14h03.11.671,Rewa's Exp,2023.1.2,59.99599226513765,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,4,4,4,,,,,,,31.604698499897495,33.11045269994065,33.11045269994065,33.11045269994065,33.11045269994065,33.11045269994065,33.11045269994065,34.83821489987895,34.83821489987895,34.83821489987895,34.83821489987895,34.83821489987895,34.83821489987895,left,0.4698133000638336,35.490674200002104,,34.83821489987895,34.83821489987895,34.83821489987895,34.83821489987895,34.83821489987895,,,,,,,474607,001,2023-07-11_14h03.11.671,Rewa's Exp,2023.1.2,59.99599226513765,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,5,5,3,,,,,,,36.50468320003711,,38.01064389990643,38.01064389990643,38.01064389990643,38.01064389990643,38.01064389990643,39.74546770006418,39.74546770006418,39.74546770006418,39.74546770006418,39.74546770006418,39.74546770006418,left,0.8339990002568811,40.717797899851575,41.721385299926624,,,,,,,,,,,,474607,001,2023-07-11_14h03.11.671,Rewa's Exp,2023.1.2,59.99599226513765,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,2,,,41.721385299926624,43.227267700014636,43.227267700014636,43.227267700014636,43.227267700014636,43.227267700014636,43.227267700014636,,,,,,,,,46.305958200013265,,44.3328223999124,44.3328223999124,44.3328223999124,44.3328223999124,44.3328223999124,44.3328223999124,44.3328223999124,44.3328223999124,44.3328223999124,45.34335049986839,None,474607,001,2023-07-11_14h03.11.671,Rewa's Exp,2023.1.2,59.99599226513765,
,,,,,,,,,,,,,,,,,,,47.3213553999085,,48.827297299867496,48.827297299867496,48.827297299867496,48.827297299867496,48.827297299867496,,,,,,,,,,,,,,,,50.10356059996411,50.10356059996411,50.10356059996411,50.10356059996411,,,,,,,,,
