Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_2.stopped,text_4.started,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,1.551089599961415,right,1,1.2964862000662833,1,,,,,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,1.667797700036317,right,1,0.8270442001521587,2,,,,,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,2,2,5,,,,,,,,,1.3344660000875592,right,0,0.5372057999484241,0,,,,,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,3,3,1,,,,,,,,,1.7685514001641423,right,1,0.9253726999741048,1,,,,,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,4,4,4,,,,,,,,,1.5013215998187661,left,1,0.6570486000273377,2,,,,,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,5,5,3,,,,,,,,,1.617692300118506,left,1,0.8727288998197764,3,,,,,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,0,0,0,,,,,1.4352065999992192,,,,4,55.725182299967855,right,1,1.2845828998833895,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,4,,,,,2.184511699946597,,,,2,61.028599800076336,right,0,1.8221754000987858,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,5,,,,,1.0513808000832796,,,,3,66.84965529991314,left,1,0.680625099921599,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,2,,,,,1.4177830000407994,,,,1,71.49763479991816,left,0,1.066010900074616,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,4,4,3,,,,,0.918030499946326,,,,-1,76.51241310010664,right,0,0.5874646999873221,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,5,5,1,,,,,1.5507954999338835,,,,0,81.05195300001651,right,1,1.2065545001532882,,,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,3,1.4510949000250548,,,,-2,,,,,None,0,,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,1,1,4,1.2677114999387413,,,,-1,,,,,left,1,0.9542070999741554,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,2,1.5178575001191348,,,,0,,,,,right,1,1.1832646001130342,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,3,3,5,1.6509805000387132,,,,1,,,,,left,1,1.2874753000214696,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,4,4,0,2.1678329000715166,,,,2,,,,,right,1,1.8286279998719692,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,5,5,1,1.7017162998672575,,,,3,,,,,right,1,1.3188954999204725,,,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,114.98056819988415,116.03320110007189,,003684,001,2023-07-12_15h50.49.403,Rewa's Exp,2023.1.2,60.02851357937218,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.03320110007189,,,,,,,
