Countdown,color1,color2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,response.keys,response.rt,text_3.started,text_3.stopped,fix.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,red,green,0,0,0,0,0,0,0,2,11.161690300097689,12.176948300097138,12.832270300015807,12.832270300015807,12.832270300015807,12.832270300015807,12.832270300015807,12.832270300015807,12.832270300015807,right,0.6840905998833477,13.714448899962008,,,,510319,001,2023-07-11_12h18.01.455,Rewa's Exp,2023.1.2,60.044949642063244,
Countdown_1.5s.mp4,green,red,0,0,0,0,0,1,1,5,,14.723389399936423,16.024449600139633,16.024449600139633,16.024449600139633,16.024449600139633,16.024449600139633,16.024449600139633,16.024449600139633,left,0.8125883000902832,16.95554649992846,17.95653470000252,,,510319,001,2023-07-11_12h18.01.455,Rewa's Exp,2023.1.2,60.044949642063244,
Countdown_2.5s.mp4,green,red,0,0,0,0,0,2,2,1,,17.95653470000252,19.202210100134835,19.202210100134835,19.202210100134835,19.202210100134835,19.202210100134835,19.202210100134835,19.202210100134835,right,0.6822138999123126,20.052497799973935,21.056697000050917,19.202210100134835,,510319,001,2023-07-11_12h18.01.455,Rewa's Exp,2023.1.2,60.044949642063244,
Countdown_2s.mp4,green,red,0,0,0,0,0,3,3,3,,21.056697000050917,22.342352000065148,22.342352000065148,22.342352000065148,22.342352000065148,22.342352000065148,22.342352000065148,22.342352000065148,left,1.215792000060901,23.673907299991697,24.67339950008318,22.342352000065148,23.345450000138953,510319,001,2023-07-11_12h18.01.455,Rewa's Exp,2023.1.2,60.044949642063244,
,,,,,,,,,,,,24.67339950008318,25.852388700004667,25.852388700004667,25.852388700004667,25.852388700004667,25.852388700004667,25.852388700004667,25.852388700004667,,,,,25.852388700004667,,,,,,,,
