Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,text.stopped,fix.started,fix.stopped,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,response.keys,response.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,3,11.172486199997365,12.177574200090021,12.177574200090021,13.731894600205123,13.731894600205123,13.731894600205123,13.731894600205123,13.731894600205123,13.731894600205123,14.863867100095376,14.863867100095376,14.863867100095376,14.863867100095376,14.863867100095376,14.863867100095376,right,0.5554090000223368,15.613820900209248,076644,001,2023-07-11_13h56.52.955,Rewa's Exp,2023.1.2,59.98994563648781,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,1,1,0,,,16.6278367000632,,18.13363190018572,18.13363190018572,18.13363190018572,18.13363190018572,18.13363190018572,19.932353400159627,19.932353400159627,19.932353400159627,19.932353400159627,19.932353400159627,19.932353400159627,right,0.6156693000812083,20.66355140018277,076644,001,2023-07-11_13h56.52.955,Rewa's Exp,2023.1.2,59.98994563648781,
,,,,,,,,,,,,,,,21.677550400141627,,23.19015959999524,23.19015959999524,23.19015959999524,23.19015959999524,23.19015959999524,24.978642200119793,24.978642200119793,24.978642200119793,24.978642200119793,24.978642200119793,24.978642200119793,,,,,,,,,,
