Countdown,color1,color2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,key_resp.started,Right.started,Left.started,polygon.stopped,key_resp.keys,key_resp.rt,fix.stopped,Right.stopped,Left.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,green,red,0,0,0,0,0,0,0,3,10.687909499974921,11.70450730016455,12.356231300160289,12.356231300160289,12.356231300160289,12.356231300160289,12.356231300160289,12.356231300160289,12.356231300160289,13.356846400070935,left,1.513711999868974,,,,205866,001,2023-07-11_12h03.22.808,Rewa's Exp,2023.1.2,59.95994672980959,
Countdown_2.5s.mp4,red,green,0,0,0,0,0,1,1,0,,14.00703340000473,15.380176300182939,15.380176300182939,15.380176300182939,15.380176300182939,15.380176300182939,15.380176300182939,15.380176300182939,,right,0.3939701998606324,,,,205866,001,2023-07-11_12h03.22.808,Rewa's Exp,2023.1.2,59.95994672980959,
Countdown_1.5s.mp4,green,red,0,0,0,0,0,2,2,5,,15.953026000177488,17.21761200018227,17.21761200018227,17.21761200018227,17.21761200018227,17.21761200018227,17.21761200018227,17.21761200018227,,left,0.6285421999637038,,,,205866,001,2023-07-11_12h03.22.808,Rewa's Exp,2023.1.2,59.95994672980959,
Countdown_2s.mp4,red,green,0,0,0,0,0,3,3,2,,18.030154600040987,19.38568910001777,19.38568910001777,19.38568910001777,19.38568910001777,19.38568910001777,19.38568910001777,19.38568910001777,20.39039389998652,None,,19.38568910001777,21.38996500009671,21.38996500009671,205866,001,2023-07-11_12h03.22.808,Rewa's Exp,2023.1.2,59.95994672980959,
Countdown_1.5s.mp4,red,green,0,0,0,0,0,4,4,4,,21.51752300001681,22.75665790005587,22.75665790005587,22.75665790005587,22.75665790005587,22.75665790005587,22.75665790005587,22.75665790005587,23.75679360004142,None,,22.75665790005587,,,205866,001,2023-07-11_12h03.22.808,Rewa's Exp,2023.1.2,59.95994672980959,
,,,,,,,,,,,,24.40947309997864,,,,,,,,,,,,,,,,,,,,
