Countdown,color1,color2,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,polygon.stopped,response.keys,text_3.started,text_3.stopped,fix.stopped,response.rt,polygon_2.started,movie_2.started,circle_2.started,key_resp_2.started,polygon_2.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,green,red,left,0,0,0,0,0,0,0,5,,,,,18.867916599847376,19.87978870002553,20.55463429982774,20.55463429982774,20.55463429982774,20.55463429982774,20.55463429982774,20.55463429982774,20.55463429982774,21.552741599967703,None,22.242894700029865,,,,,,,,,,662936,001,2023-07-11_12h37.25.737,Rewa's Exp,2023.1.2,60.053351412135115,
Countdown_2s.mp4,red,green,right,0,0,0,0,0,1,1,2,,,,,,23.246474199928343,24.456075799884275,24.456075799884275,24.456075799884275,24.456075799884275,24.456075799884275,24.456075799884275,24.456075799884275,25.468701799865812,None,26.630509000038728,27.62979739997536,,,,,,,,,662936,001,2023-07-11_12h37.25.737,Rewa's Exp,2023.1.2,60.053351412135115,
Countdown_2s.mp4,green,red,left,0,0,0,0,0,2,2,3,,,,,,27.62979739997536,28.862943300046027,28.862943300046027,28.862943300046027,28.862943300046027,28.862943300046027,28.862943300046027,28.862943300046027,,left,29.6016066998709,,28.862943300046027,0.6118046999908984,,,,,,,662936,001,2023-07-11_12h37.25.737,Rewa's Exp,2023.1.2,60.053351412135115,
Countdown_2.5s.mp4,red,green,right,0,0,0,0,0,3,3,0,,,,,,30.613201699918136,31.8546909999568,31.8546909999568,31.8546909999568,31.8546909999568,31.8546909999568,31.8546909999568,31.8546909999568,,right,32.66472919983789,,,0.6918605000246316,,,,,,,662936,001,2023-07-11_12h37.25.737,Rewa's Exp,2023.1.2,60.053351412135115,
Countdown_1.5s.mp4,red,green,right,0,0,0,0,0,4,4,4,,,,,,33.679820199962705,34.86512460000813,34.86512460000813,34.86512460000813,34.86512460000813,34.86512460000813,34.86512460000813,34.86512460000813,,right,35.35823019989766,36.3631678998936,,0.3703395000193268,,,,,,,662936,001,2023-07-11_12h37.25.737,Rewa's Exp,2023.1.2,60.053351412135115,
Countdown_2.5s.mp4,green,red,left,0,0,0,0,0,5,5,1,,,,,,36.3631678998936,37.69474780000746,37.69474780000746,37.69474780000746,37.69474780000746,37.69474780000746,37.69474780000746,37.69474780000746,,left,38.58678969996981,39.596456999890506,37.69474780000746,0.7568197001237422,,,,,,,662936,001,2023-07-11_12h37.25.737,Rewa's Exp,2023.1.2,60.053351412135115,
Countdown_2s.mp4,red,green,right,0,0,0,0,,,,,0,0,0,2,,39.596456999890506,,,,,,,,,,,,40.202002899954095,,40.202002899954095,40.202002899954095,40.202002899954095,40.202002899954095,41.20179919991642,None,662936,001,2023-07-11_12h37.25.737,Rewa's Exp,2023.1.2,60.053351412135115,
,,,,,,,,,,,,,,,,,42.418246099958196,,,,,,,,,,,,43.255865399958566,,43.255865399958566,43.255865399958566,43.255865399958566,43.255865399958566,44.268337700050324,,,,,,,,
