Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,fix.started,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,polygon.stopped,response.keys,response.corr,text_3.started,text_3.stopped,fix.stopped,polygon_2.started,movie_2.started,circle_2.started,key_resp_2.started,polygon_2.stopped,key_resp_2.keys,image.stopped,circle_4.stopped,fix_2.stopped,Right_2.stopped,Left_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,1,10.920924299862236,49.99873459991068,51.50452409987338,51.50452409987338,51.50452409987338,51.50452409987338,51.50452409987338,46.857889499980956,46.857889499980956,46.857889499980956,46.857889499980956,46.857889499980956,46.857889499980956,47.8711901998613,None,0,54.77787989983335,55.78185999998823,51.50452409987338,52.60285189980641,52.60285189980641,52.60285189980641,52.60285189980641,53.60401739994995,None,,,,,,166255,001,2023-07-11_15h05.20.505,Rewa's Exp,2023.1.2,59.969799174651214,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,4,,55.78185999998823,57.287859899923205,57.287859899923205,57.287859899923205,57.287859899923205,57.287859899923205,,,,,,,,,,61.28506709984504,,57.287859899923205,58.589895999990404,58.589895999990404,58.589895999990404,58.589895999990404,59.603996800025925,None,58.589895999990404,58.589895999990404,58.589895999990404,58.589895999990404,58.589895999990404,166255,001,2023-07-11_15h05.20.505,Rewa's Exp,2023.1.2,59.969799174651214,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,2,2,2,,62.29849379998632,63.80457659997046,63.80457659997046,63.80457659997046,63.80457659997046,63.80457659997046,,,,,,,,,,66.55390049982816,,,65.09982399991713,65.09982399991713,65.09982399991713,65.09982399991713,66.10412259981968,None,,,,,,166255,001,2023-07-11_15h05.20.505,Rewa's Exp,2023.1.2,59.969799174651214,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,5,,67.56513759982772,69.07700779987499,69.07700779987499,69.07700779987499,69.07700779987499,69.07700779987499,,,,,,,,,,72.55184949981049,,,70.37649239995517,70.37649239995517,70.37649239995517,70.37649239995517,71.38747789990157,None,,,,,,166255,001,2023-07-11_15h05.20.505,Rewa's Exp,2023.1.2,59.969799174651214,
,,,,,,,,,,,,,,,,,,73.56497319997288,75.07780909980647,75.07780909980647,75.07780909980647,75.07780909980647,75.07780909980647,,,,,,,,,,78.86286789993756,,,76.37653559981845,76.37653559981845,76.37653559981845,76.37653559981845,77.38744309986942,None,,,,,,,,,,,,
