Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,text.stopped,fix.started,fix.stopped,image.started,circle_4.started,fix_2.started,Right_2.started,Left_2.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,response.keys,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,10.679960199864581,11.68925609998405,11.68925609998405,13.232499999925494,13.232499999925494,13.232499999925494,13.232499999925494,13.232499999925494,13.232499999925494,14.465505699859932,14.465505699859932,14.465505699859932,14.465505699859932,14.465505699859932,14.465505699859932,None,14.465505699859932,,346005,001,2023-07-11_14h14.41.213,Rewa's Exp,2023.1.2,59.994840432372676,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,4,,,15.472654599929228,,16.981855999911204,16.981855999911204,16.981855999911204,16.981855999911204,16.981855999911204,18.867664400022477,18.867664400022477,18.867664400022477,18.867664400022477,18.867664400022477,18.867664400022477,None,18.867664400022477,19.872577300062403,346005,001,2023-07-11_14h14.41.213,Rewa's Exp,2023.1.2,59.994840432372676,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,2,2,5,,,19.872577300062403,21.380762399872765,21.380762399872765,21.380762399872765,21.380762399872765,21.380762399872765,21.380762399872765,23.26289869984612,23.26289869984612,23.26289869984612,23.26289869984612,23.26289869984612,23.26289869984612,None,23.26289869984612,24.272588700056076,346005,001,2023-07-11_14h14.41.213,Rewa's Exp,2023.1.2,59.994840432372676,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,3,3,3,,,24.272588700056076,25.778494599973783,25.778494599973783,25.778494599973783,25.778494599973783,25.778494599973783,25.778494599973783,27.58616940001957,27.58616940001957,27.58616940001957,27.58616940001957,27.58616940001957,27.58616940001957,None,27.58616940001957,28.5892506998498,346005,001,2023-07-11_14h14.41.213,Rewa's Exp,2023.1.2,59.994840432372676,
,,,,,,,,,,,,,,,28.5892506998498,30.1018153000623,30.1018153000623,30.1018153000623,30.1018153000623,30.1018153000623,30.1018153000623,,,,,,,,,,,,,,,,
