Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,fix.started,image.started,circle_4.started,fix_2.started,text_countdown.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,polygon.stopped,response.keys,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,2,12.057417099829763,13.074147399980575,14.622996699996293,14.622996699996293,14.622996699996293,15.72631169995293,15.72631169995293,15.72631169995293,15.72631169995293,15.72631169995293,15.72631169995293,15.72631169995293,16.742012199945748,None,17.892389899818227,325270,001,2023-07-11_12h58.04.236,Rewa's Exp,2023.1.2,59.99516433896484,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,1,,18.902526299934834,20.410765499807894,20.410765499807894,20.410765499807894,22.187636699993163,22.187636699993163,22.187636699993163,22.187636699993163,22.187636699993163,22.187636699993163,22.187636699993163,23.192121799802408,None,24.839971699984744,325270,001,2023-07-11_12h58.04.236,Rewa's Exp,2023.1.2,59.99516433896484,
,,,,,,,,,,,,,,25.85248149977997,27.371308899950236,27.371308899950236,27.371308899950236,29.14349989988841,29.14349989988841,29.14349989988841,29.14349989988841,29.14349989988841,29.14349989988841,29.14349989988841,30.158093999838457,None,30.794199399882928,,,,,,,
