Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,text.stopped,fix.started,image.started,text_countdown.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,polygon.stopped,response.keys,text_3.started,text_3.stopped,fix.stopped,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,green,red,left,None,0,0,0,0,0,0,0,3,11.716888400027528,12.729193300008774,12.729193300008774,13.233970300061628,14.399839699966833,14.399839699966833,14.399839699966833,14.399839699966833,14.399839699966833,14.399839699966833,14.399839699966833,15.406102899927646,None,16.36121809994802,17.36721870000474,,,617261,001,2023-07-11_12h46.50.293,Rewa's Exp,2023.1.2,60.04293067283072,
Countdown_1.5s.mp4,green,red,left,None,0,0,0,0,0,1,1,5,,,17.36721870000474,17.867105999961495,19.595747099956498,19.595747099956498,19.595747099956498,19.595747099956498,19.595747099956498,19.595747099956498,19.595747099956498,20.60630390001461,None,21.087013500044122,,17.867105999961495,19.595747099956498,617261,001,2023-07-11_12h46.50.293,Rewa's Exp,2023.1.2,60.04293067283072,
Countdown_2s.mp4,red,green,right,None,0,0,0,0,0,2,2,2,,,22.100604499923065,22.600584200117737,24.28521370003,24.28521370003,24.28521370003,24.28521370003,24.28521370003,24.28521370003,24.28521370003,25.28935239999555,None,26.255899199983105,27.267207100056112,,,617261,001,2023-07-11_12h46.50.293,Rewa's Exp,2023.1.2,60.04293067283072,
,,,,,,,,,,,,,,,27.267207100056112,27.801672199973837,29.494190800003707,29.494190800003707,29.494190800003707,29.494190800003707,29.494190800003707,29.494190800003707,29.494190800003707,30.50781390001066,None,31.977498600026593,,27.801672199973837,,,,,,,,
