Countdown,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,fix.started,fix.stopped,text_countdown.started,polygon.started,movie.started,circle.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,0,0,0,0,10.151145400013775,11.159756599925458,11.159756599925458,11.817600899841636,11.817600899841636,11.817600899841636,11.817600899841636,11.817600899841636,12.83238419983536,354785,001,2023-07-11_11h18.52.339,Rewa's Exp,2023.1.2,59.95239779661046,
Countdown_1s.mp4,0,1,1,3,,,14.496839399915189,,15.860013999976218,15.860013999976218,15.860013999976218,15.860013999976218,16.86538550001569,354785,001,2023-07-11_11h18.52.339,Rewa's Exp,2023.1.2,59.95239779661046,
Countdown_2s.mp4,0,2,2,1,,,16.992275799857453,18.31111039989628,18.31111039989628,18.31111039989628,18.31111039989628,18.31111039989628,19.31511959992349,354785,001,2023-07-11_11h18.52.339,Rewa's Exp,2023.1.2,59.95239779661046,
Countdown_1.5s.mp4,0,3,3,2,,,20.44492150004953,,21.646575399907306,21.646575399907306,21.646575399907306,21.646575399907306,22.648721399949864,354785,001,2023-07-11_11h18.52.339,Rewa's Exp,2023.1.2,59.95239779661046,
Countdown_2.5s.mp4,1,0,4,0,,,23.298921399982646,24.62587479990907,24.62587479990907,24.62587479990907,24.62587479990907,24.62587479990907,25.63190190005116,354785,001,2023-07-11_11h18.52.339,Rewa's Exp,2023.1.2,59.95239779661046,
Countdown_1.5s.mp4,1,1,5,2,,,27.278269999893382,,28.488233299925923,28.488233299925923,28.488233299925923,28.488233299925923,29.498543299967423,354785,001,2023-07-11_11h18.52.339,Rewa's Exp,2023.1.2,59.95239779661046,
Countdown_2s.mp4,1,2,6,1,,,30.142057599965483,31.492932699853554,31.492932699853554,31.492932699853554,31.492932699853554,31.492932699853554,32.49822869990021,354785,001,2023-07-11_11h18.52.339,Rewa's Exp,2023.1.2,59.95239779661046,
Countdown_1s.mp4,1,3,7,3,,,33.62545289983973,34.816177299944684,34.816177299944684,34.816177299944684,34.816177299944684,34.816177299944684,35.81515230005607,354785,001,2023-07-11_11h18.52.339,Rewa's Exp,2023.1.2,59.95239779661046,
Countdown_2.5s.mp4,2,0,8,0,,,35.947852599900216,37.29886049986817,37.29886049986817,37.29886049986817,37.29886049986817,37.29886049986817,38.298483199905604,354785,001,2023-07-11_11h18.52.339,Rewa's Exp,2023.1.2,59.95239779661046,
,,,,,,,39.952080599963665,41.16410019993782,41.16410019993782,41.16410019993782,41.16410019993782,41.16410019993782,,,,,,,,
