Countdown,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,text.stopped,fix.started,fix.stopped,text_countdown.started,polygon.started,movie.started,circle.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,0,0,0,0,,,,,10.390950199915096,11.392002600012347,11.392002600012347,12.049338900018483,12.049338900018483,12.049338900018483,12.049338900018483,12.049338900018483,13.063991999952123,226085,001,2023-07-11_11h23.13.222,Rewa's Exp,2023.1.2,59.86977122988217,
Countdown_1s.mp4,0,1,1,3,,,,,,,14.726763499900699,,16.083937299903482,16.083937299903482,16.083937299903482,16.083937299903482,17.096637699985877,226085,001,2023-07-11_11h23.13.222,Rewa's Exp,2023.1.2,59.86977122988217,
Countdown_2s.mp4,0,2,2,1,,,,,,,17.216052300063893,18.388940599979833,18.388940599979833,18.388940599979833,18.388940599979833,18.388940599979833,19.396523699862882,226085,001,2023-07-11_11h23.13.222,Rewa's Exp,2023.1.2,59.86977122988217,
Countdown_1.5s.mp4,0,3,3,2,,,,,,,20.522258599987254,21.715193500043824,21.715193500043824,21.715193500043824,21.715193500043824,21.715193500043824,22.729979899944738,226085,001,2023-07-11_11h23.13.222,Rewa's Exp,2023.1.2,59.86977122988217,
Countdown_1.5s.mp4,,,,,0,0,0,2,,,23.372120199957862,24.705451699905097,24.705451699905097,24.705451699905097,24.705451699905097,24.705451699905097,25.713235500035807,226085,001,2023-07-11_11h23.13.222,Rewa's Exp,2023.1.2,59.86977122988217,
,,,,,,,,,,,26.358488199999556,27.5161276999861,27.5161276999861,27.5161276999861,27.5161276999861,27.5161276999861,28.530231700045988,,,,,,,
