Countdown,color1,color2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,text.started,text.stopped,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,response.started,Right.started,Left.started,response.keys,response.rt,fix.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,red,green,0,0,0,0,0,0,0,4,10.52449670014903,11.531734500080347,11.531734500080347,12.223404000047594,12.223404000047594,12.223404000047594,12.223404000047594,12.223404000047594,12.223404000047594,12.223404000047594,right,0.6557606998831034,,,804705,001,2023-07-11_12h14.53.943,Rewa's Exp,2023.1.2,60.01053787480204,
Countdown_2.5s.mp4,red,green,0,0,0,0,0,1,1,0,,,13.02123160008341,14.38269990007393,14.38269990007393,14.38269990007393,14.38269990007393,14.38269990007393,14.38269990007393,14.38269990007393,left,0.9864942999556661,14.38269990007393,15.516344800125808,804705,001,2023-07-11_12h14.53.943,Rewa's Exp,2023.1.2,60.01053787480204,
,,,,,,,,,,,,,15.516344800125808,16.833855600096285,16.833855600096285,16.833855600096285,16.833855600096285,16.833855600096285,16.833855600096285,16.833855600096285,,,,17.83615200011991,,,,,,,
