Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,3,,,,,,,,,1.0012781000696123,right,0,0.7442432001698762,-2,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,1,1,0,,,,,,,,,1.367850499926135,right,1,0.6081016000825912,-1,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,2,2,2,,,,,,,,,2.301020700018853,None,0,,-3,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,3,3,1,,,,,,,,,2.7680345999542624,None,0,,-5,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,4,4,4,,,,,,,,,1.8674143999814987,left,1,1.021968400105834,-4,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,5,5,5,,,,,,,,,2.7351071999873966,None,0,,-6,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,3,,,,,1.3678199998103082,,,,-5,50.99252109997906,left,1,1.21718839998357,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,0,,,,,2.200910000130534,,,,-4,56.16264209989458,right,1,1.886957200244069,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,1,,,,,2.017532000085339,,,,-6,62.07743389997631,left,0,1.636798300081864,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,3,3,5,,,,,1.267931800102815,,,,-8,67.69939689990133,right,0,0.8943858002312481,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,4,4,4,,,,,1.5344290998764336,,,,-7,72.54712649993598,left,1,1.206439500208944,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,5,5,2,,,,,1.4847647999413311,,,,-6,77.7341948999092,right,1,1.1401541002560407,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,4,1.6680515999905765,,,,-5,,,,,left,1,1.5239261002279818,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,1,1,5,2.1675446999724954,,,,-7,,,,,right,0,1.8597648001741618,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,2,2,1,2.1675227999221534,,,,-6,,,,,right,1,1.8333258999045938,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,,,,,0,3,3,0,2.717570799868554,,,,-8,,,,,left,0,2.382016200106591,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,4,4,3,0.8841649000532925,,,,-10,,,,,right,0,0.5567448001820594,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,5,5,2,1.784098400035873,,,,-12,,,,,left,0,1.4602113999426365,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,113.19481169991195,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1,0,1,0,0,0,0,4,,,,,,,,,1.201100599952042,left,1,0.8473204001784325,-11,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,1,0,1,0,0,1,1,2,,,,,,,,,1.4512098000850528,right,1,1.135579600231722,-10,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,0,2,2,0,,,,,,,,,1.2345801000483334,right,1,0.8754537000786513,-9,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,0,3,3,5,,,,,,,,,1.1513515999540687,left,1,0.8269430003128946,-8,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,1,0,1,0,0,4,4,3,,,,,,,,,1.451173499925062,left,1,1.1045454002451152,-7,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,0,5,5,1,,,,,,,,,1.7680312001612037,right,1,1.4456108999438584,-6,,,,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,,,,,0,0,0,0,,,,,1.7679355998989195,,,,-5,147.01948549994268,right,1,1.3992358001414686,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,,,,,0,1,1,1,,,,,2.1509314998984337,,,,-7,152.39300299994648,None,0,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1,0,1,0,,,,,0,2,2,4,,,,,2.884594599949196,,,,-9,158.1724658999592,None,0,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,1,0,1,0,,,,,0,3,3,3,,,,,0.9010854000225663,,,,-8,164.659697300056,left,1,0.5903946000616997,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,1,0,1,0,,,,,0,4,4,2,,,,,1.3176731998100877,,,,-10,169.2074816999957,left,0,0.9777954001910985,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,,,,,0,5,5,5,,,,,2.2677574001718313,,,,-12,174.1859140000306,None,0,,,,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,,,,,,,,,0,0,0,5,2.20055319997482,,,,-14,,,,,None,0,,,,142610,001,2023-07-12_16h34.28.889,Rewa's Exp,2023.1.2,60.01648055323505,
