Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,0.9048834999557585,right,1,0.6576970999594778,1,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,4,,,,,,,,,2.3010879000648856,left,1,1.5286800998728722,2,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,1.5178123000077903,left,1,0.7261584000661969,3,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,1.584559999871999,right,1,0.7054812998976558,4,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,4,4,5,,,,,,,,,1.7846245998516679,left,1,0.8941732000093907,5,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,5,5,0,,,,,,,,,1.4343619998544455,right,1,0.5286107999272645,6,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,2,,,,,1.5010476000607014,,,,7,76.65400650002994,right,1,1.350098199909553,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,1,1,1,,,,,1.6177002999465913,,,,5,81.95099010015838,left,0,1.2933707998599857,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,2,2,4,,,,,2.3671198000665754,,,,6,87.23831779998727,left,1,2.0130557999946177,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,3,3,3,,,,,1.5678436998277903,,,,7,93.22603760007769,left,1,1.2328690998256207,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,4,4,5,,,,,2.100938699906692,,,,8,98.4108516999986,left,1,1.7682190001942217,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,5,5,0,,,,,1.3180007999762893,,,,9,104.1473026999738,right,1,0.9515362000092864,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
,,,,,0,0,0,0,,,,,,,,,0,0,0,0,1.4510073999408633,,,,10,,,,,right,1,1.3037436997983605,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,111.32375239999965,112.3255247999914,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,1,0,1,0,0,0,0,1,,,,,,,,,1.3342204000800848,right,1,0.9696328998543322,11,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,1,0,1,0,0,1,1,0,,,,,,,,,1.2028055000118911,right,1,0.8518420998007059,12,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,1,0,1,0,0,2,2,5,,,,,,,,,1.334056799998507,left,1,0.9958248999901116,13,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,1,0,1,0,0,3,3,4,,,,,,,,,1.1178642001468688,left,1,0.7776215998455882,14,,,,,,,,,,575114,001,2023-07-12_14h33.48.367,Rewa's Exp,2023.1.2,59.946036571734965,
