Countdown,color1,color2,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,text.started,fix.started,text_countdown.started,polygon.started,movie.started,circle.started,polygon.stopped,fix.stopped,polygon_2.started,movie_2.started,circle_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,red,green,0,0,0,4,,,,,11.382059399969876,12.398736000061035,13.05761480005458,13.05761480005458,13.05761480005458,13.05761480005458,14.068752399878576,,,,,,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_2s.mp4,green,red,0,1,1,3,,,,,,14.739503500051796,16.14542600000277,16.14542600000277,16.14542600000277,16.14542600000277,17.15198710002005,16.14542600000277,,,,,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_1.5s.mp4,green,red,0,2,2,5,,,,,,18.27984239999205,19.49179879995063,19.49179879995063,19.49179879995063,19.49179879995063,20.50211780006066,19.49179879995063,,,,,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_2.5s.mp4,red,green,0,3,3,0,,,,,,21.14596979995258,22.28227570001036,22.28227570001036,22.28227570001036,22.28227570001036,23.285548399901018,22.28227570001036,,,,,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_2.5s.mp4,green,red,0,4,4,1,,,,,,24.93554880004376,26.154139999998733,26.154139999998733,26.154139999998733,26.154139999998733,27.169013399863616,26.154139999998733,,,,,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_2s.mp4,red,green,0,5,5,2,,,,,,28.80724889994599,30.19298609998077,30.19298609998077,30.19298609998077,30.19298609998077,31.20218600006774,30.19298609998077,,,,,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_2.5s.mp4,red,green,,,,,0,0,0,0,,32.331183000002056,,,,,,,32.95332759991288,32.95332759991288,32.95332759991288,33.969315299997106,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_2s.mp4,green,red,,,,,0,1,1,3,,35.407357200048864,,,,,,36.215909000020474,36.215909000020474,36.215909000020474,36.215909000020474,37.21899720001966,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_2s.mp4,red,green,,,,,0,2,2,2,,38.31193080008961,,,,,,39.12637940002605,39.12637940002605,39.12637940002605,39.12637940002605,40.13525289995596,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_1.5s.mp4,red,green,,,,,0,3,3,4,,41.22487369994633,,,,,,42.04530719993636,42.04530719993636,42.04530719993636,42.04530719993636,43.05203799996525,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_2.5s.mp4,green,red,,,,,0,4,4,1,,43.6206292998977,,,,,,44.45956610003486,44.45956610003486,44.45956610003486,44.45956610003486,45.46878180000931,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
Countdown_1.5s.mp4,green,red,,,,,0,5,5,5,,46.99343489995226,,,,,,47.81848539994098,47.81848539994098,47.81848539994098,47.81848539994098,48.818802800029516,852238,001,2023-07-11_11h50.33.489,Rewa's Exp,2023.1.2,60.04779810366715,
